Tweet text,Link Title,Tweet total length,Hashtags length,Author total tweets,Author quality tweets,Host total urls,Host quality urls,Source total urls,Source quality urls,Number of hashtags,Number of user mentions,Quality score,Is retweet?
I added a video to a @YouTube playlist http://t.co/wN3jwRH5fE Zbrush Sculpting Tutorial - White Walker from Game of Thrones HD,Zbrush Sculpting Tutorial - White Walker from Game of Thrones HD,126,0,4,4,106,102,66,59,0,1,1,0
http://t.co/GMqyYh1qGx Third times the charm? This time in zbrush; less intuitive than mudbox but a LOT more powerful.,Screenshot by Gyazo,118,0,1,0,1,0,109,34,0,0,-1,0
Photo: Printing up a few new kitties. #rostockmax #3dprinting #zbrush http://t.co/YH2PzkAcu2,Printing up a few new kitties. #rostockmax... - Other Forms of Magic,92,30,1,0,12,1,13,1,3,0,-1,0
RT @darthmongoose: http://t.co/GMqyYh1qGx Third times the charm? This time in zbrush; less intuitive than mudbox but a LOT more powerful.,Screenshot by Gyazo,137,0,1,0,1,0,6,0,0,1,-1,1
Zbrush furry (kemono) turntable (15+) http://t.co/lwJfE4VfJ0,,60,0,2,0,2,0,8,6,0,0,-1,0
Productive holidays with @pixologic Zbrush http://t.co/X6T5rqOM2p,Alien skin wip Pablo Del Molino,65,0,1,0,16,0,109,34,0,1,-1,0
#3D #VFX #Animation Sci-fi gallery winner Paul H. Paulino talks about the workflow and inspirations http://t.co/9uaFbzzDjl #3dtotal,Occupy VFX!,131,27,4,3,1,1,4,3,4,0,1,0
I liked a @YouTube video from @thecgbros http://t.co/4JwTCMLfme CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,121,0,1,1,106,102,66,59,0,2,1,0
I liked a @YouTube video http://t.co/M73p5xmDY8 Tile Helper Zbrush Script Preview,Tile Helper Zbrush Script Preview,81,0,3,1,106,102,66,59,0,1,1,0
CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast: http://t.co/BqfLyp4DKC via @YouTube this is fantastic!,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,123,0,1,1,106,102,45,15,0,1,1,0
RT @testanswers100: ZBrush Test Answers http://t.co/5QG7MlVnmE,ZBrush,62,0,1,0,1,0,45,15,0,1,-1,1
I liked a @YouTube video http://t.co/UjsaVlPBJF zbrush head sketch timelapse,zbrush head sketch timelapse,76,0,5,5,106,102,66,59,0,1,1,0
RT @VenturianTale: I made a creepy 3D toy robot.. Idk why. #venturiantale #zbrush http://t.co/aXIaOkUOsq,HomelessGoomba on Instagram: “I made a creepy 3D toy robot.. Idk why. #venturiantale #zbrush”,104,21,1,0,63,0,2,0,2,1,-1,1
The talented Marcello Baldari talks about his @ZBrush sketches in the December issue of 3dcreative heres a... http://t.co/rwAR5JWFPN,The talented Marcello Baldari talks... - http://www.3dtotal.com/ - The CG Artists Homepage! | Facebook,132,0,2,1,23,1,29,6,0,1,-1,0
Thanks for the tutorials Joseph Drust Zbrush master http://t.co/mdSRChF3uq,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,74,0,3,1,106,102,1,1,0,0,1,0
I added a video to a @YouTube playlist http://t.co/VJhJWJ1gZu ZBrush 4r7 full Summit 2 days Demo,ZBrush 4r7 full Summit 2 days Demo,96,0,4,4,106,102,66,59,0,1,1,0
ZBrush at SIGGRAPH 2013 Blizzard Part 1 http://t.co/6IShD4adHd,,62,0,6,6,6,6,8,6,0,0,1,0
I liked a @YouTube video from @thecgbros http://t.co/XXwY8hVOuf CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,1,1,106,102,66,59,0,2,1,0
Am apreciat un videoclip pe @YouTube http://t.co/6oy1jIcQ8E CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,113,0,1,1,106,102,66,59,0,1,1,0
Spider verse #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel… http://t.co/98ZKMOOPFL,Dwayne Hanley on Instagram: “Spider verse #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel #marvelcomics #marvelcharacter…”,123,85,12,0,63,0,59,0,9,0,-1,0
ZBrushworkshops – Detailing And Rigging In ZBrush And 3DS Max http://t.co/iurM1sPXZp,ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max,84,0,1,0,7,2,66,59,0,0,-1,0
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo: http://t.co/nZp7wJhGqz,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,77,0,1,1,106,102,45,15,0,0,1,0
Another great piece by Wandong Xu. Old Monk was also done in #Maya #Zbrush #Vray #Photoshop. http://t.co/WhQftWPEaQ http://t.co/C1kBmJaqhe,Old monk by Wandong Xu | Fan Art | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,138,29,3,0,2,0,10,0,4,0,-1,0
I liked a @YouTube video from @thecgbros http://t.co/VyOv8fWZNe CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,1,1,106,102,66,59,0,2,1,0
RT @AdskMaya: Another great piece by Wandong Xu. Old Monk was also done in #Maya #Zbrush #Vray #Photoshop. http://t.co/WhQftWPEaQ http://…,Old monk by Wandong Xu | Fan Art | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,138,29,1,0,2,0,24,5,4,1,-1,1
I liked a @YouTube video from @thecgbros http://t.co/vpuzC3Fvzk CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,1,1,106,102,66,59,0,2,1,0
Slowly getting the final shape :D / Poco a poco llegamos a la forma final #Gollum #JLMayen #ZBrush #3d #lotr... http://t.co/owfyRwBA4m,JLMayen - Timeline Photos | Facebook,134,33,2,0,23,1,29,6,5,0,-1,0
Znews : Weekly news about Zbrush is out! http://t.co/2Tb1lw1tTO Stories via @ZBrushers @johnwcrossland @EduRamosRock,Znews : Weekly news about Zbrush,116,0,1,0,1,0,1,0,0,3,-1,0
First ZBrush sculpt. via @artstationhq http://t.co/PHSeZsMJoH,First ZBrush sculpt. Aser Godoy de Lera,61,0,1,0,16,0,45,15,0,1,-1,0
Mangled in Zbrush rendered in Keyshot tinted in Photoshop... http://t.co/EvNF3Omaqg,Inspiration Now - Timeline Photos | Facebook,83,0,6,0,23,1,29,6,0,0,-1,0
3D Characters Sculpted in Zbrush by Ola Sundberg http://t.co/YdbwltzXgu,Şeyhmus Kino - Timeline Photos | Facebook,71,0,1,0,23,1,29,6,0,0,-1,0
1.5 hour Zbrush head sculpt from sphere. #Zbrush #3D #DigitalSculpture #3Dart #Sculpture #Villain… http://t.co/pPKHiu1Kbc,@zeusarts on Instagram: “1.5 hour Zbrush head sculpt from sphere. #Zbrush #3D #DigitalSculpture #3Dart #Sculpture #Villain #Zeusarts”,121,55,1,0,63,0,59,0,6,0,-1,0
RT @zeusarts: 1.5 hour Zbrush head sculpt from sphere. #Zbrush #3D #DigitalSculpture #3Dart #Sculpture #Villain… http://t.co/pPKHiu1Kbc,@zeusarts on Instagram: “1.5 hour Zbrush head sculpt from sphere. #Zbrush #3D #DigitalSculpture #3Dart #Sculpture #Villain #Zeusarts”,135,55,21,0,63,0,21,0,6,1,-1,1
VIDEO | ZBrush Tutorials How to Creating a Stylized Cartoon Bird Part 13 | Watch: http://t.co/CyHuiFBq12 by News Today | Youtube©,YouTube,129,0,50,50,106,102,58,51,0,0,1,0
#zbrush #sketch #wip #inprogress @ Tattoos By Keith http://t.co/s0WM7CI8TD,Keith Ciaramello on Instagram: “#zbrush #sketch #wip #inprogress”,74,31,1,0,63,0,59,0,4,0,-1,0
Zbrush Sculpting Tutorial for Beginners Series - Organic &amp; Hard-Surface T-Rex http://t.co/MqhWlWYz57,#1 Zbrush Sculpting Tutorial for Beginners Series - Organic & Hard-Surface T-Rex 1080p HD,104,0,8,3,106,102,23,5,0,0,1,0
Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,119,53,1,0,10,6,109,34,6,0,-1,0
RT @testanswers100: ZBrush Test Answers http://t.co/5QG7MlVnmE,ZBrush,62,0,1,0,1,0,45,15,0,1,-1,1
RT @testanswers100: ZBrush Test Answers http://t.co/5QG7MlVnmE,ZBrush,62,0,1,0,1,0,45,15,0,1,-1,1
3d showreel of admec multimedia institute delhi in maya zbrush and afte...: http://t.co/rVMQVx9dUg via @YouTube,3d showreel of admec multimedia institute delhi in maya zbrush and aftereffects,111,0,1,0,106,102,45,15,0,1,-1,0
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,21,0,10,6,21,0,6,1,-1,1
The Complete Orc Bust Sculpting Course with ZBrush http://t.co/PpmcEAbWfO #course http://t.co/A93khEoT85,ZBrush Sculpting Tutorial: The Complete Orc Bust Sculpting - Udemy,104,6,13,0,1,0,13,0,1,0,-1,0
working in #cloth after #hair...#zbrush and #fibermesh #characterdesign in progress #3D #Game #film #vfx https://t.co/pN3WWKFQT0,,128,68,2,0,3,0,3,0,9,0,-1,0
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,20,8,0,1,1,1
ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max With Joseph Drust: ZBrushworkshops - Detailing A... http://t.co/sUb0QpCUh2,ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max With Joseph Drust » Heroturko.pl,136,0,5,0,5,0,13,0,0,0,-1,0
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,1,0,10,6,109,34,6,1,-1,1
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,9,2,0,1,1,1
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,1,0,10,6,1,0,6,1,-1,1
Hairless by #ErikFerguson http://t.co/Zdzjjwx5kE #animation #3d,Hairless creature Animated Zbrush sculpt,63,27,1,0,4,2,45,15,3,0,-1,0
RT @brandorossini: Hairless by #ErikFerguson http://t.co/Zdzjjwx5kE #animation #3d,Hairless creature Animated Zbrush sculpt,82,27,2,0,4,2,2,0,3,1,-1,1
DIGITALTUTORS REFERENCING NATURE FOR UNIQUE CREATURE CREATION IN ZBRUSH TUTORIAL-kEISO: Category: Appz/misc: ... http://t.co/VGZX36gYJn,,135,0,1,0,1,0,13,0,0,0,-1,0
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,1,0,10,6,24,5,6,1,-1,1
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,1,0,10,6,1,0,6,1,-1,1
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,1,0,10,6,20,8,6,1,-1,1
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,7,0,10,6,7,0,6,1,-1,1
ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max http://t.co/eoHeIkAfD3,ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max » Всё для vfx.,84,0,1,0,7,2,66,59,0,0,-1,0
Sterling silver ring created by @matthewamey in #zbrush and printed by #shapeways Who wants one?… http://t.co/ypNsZudZyV,Independent Tattoo on Instagram: “Sterling silver ring created by @matthewamey in #zbrush and printed by #shapeways Who wants one? #finejewelry #sterlingsilver #mensjewelry…”,120,17,1,0,63,0,59,0,2,1,-1,0
The Complete Orc Bust Sculpting Course with ZBrush http://t.co/PpmcEAbWfO #course http://t.co/LutmkeATwA,ZBrush Sculpting Tutorial: The Complete Orc Bust Sculpting - Udemy,104,6,13,0,1,0,13,0,1,0,-1,0
RT @ActKamal: How to Create Realistic Male Model with Zbrush | AVCGI 360 | @scoopit http://t.co/tTBISkKxn6,How to Create Realistic Male Model with Zbrush ...,106,0,1,1,3,3,109,34,0,2,1,1
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,3,2,0,1,1,1
Sculpting them cliffs in #zbrush come hang: http://t.co/wbCSg1ZMGH - #gameart #gamedev #indiedev,HanakoGame,96,34,1,1,5,5,109,34,4,0,1,0
RT @mattcanei: Sculpting them cliffs in #zbrush come hang: http://t.co/wbCSg1ZMGH - #gameart #gamedev #indiedev,HanakoGame,111,34,3,2,5,5,3,2,4,1,1,1
RT @mattcanei: Sculpting them cliffs in #zbrush come hang: http://t.co/wbCSg1ZMGH - #gameart #gamedev #indiedev,HanakoGame,111,34,1,1,5,5,1,1,4,1,1,1
ZBrush - Continuing work: http://t.co/3W092kY833,DrBo42,48,0,3,3,5,5,3,3,0,0,1,0
#sculptris practice getting ready for some #zbrush in my life. This is a sketch by my friend and mega… http://t.co/qk3Bd8B9Ve,Jared Salmond on Instagram: “#sculptris practice getting ready for some #zbrush in my life. This is a sketch by my friend and mega artist@munoa13! Your going to be…”,125,17,2,0,63,0,59,0,2,0,-1,0
At http://t.co/QBRRWNWgln -- #starwars #hansolo #darthvader #sculptris practice getting ready for some #zbrush in my life. This is a sk...,Movie Tortilla: #movies,138,48,1,0,1,0,58,51,5,0,-1,0
Photo: here’s my second attempt at making Fiona in Zbrush.  Still not great but better.  Maybe I will try... http://t.co/AK3wd6c4Z5,Supernormal Step Tumbles • here’s my second attempt at making Fiona in...,131,0,1,0,12,1,13,1,0,0,-1,0
RT @MikeLLunsford: Photo: here’s my second attempt at making Fiona in Zbrush.  Still not great but better.  Maybe I will try... http://t.c…,Supernormal Step Tumbles • here’s my second attempt at making Fiona in...,139,0,1,0,12,1,1,0,0,1,-1,1
RT @MistryArt: Create a #pinterest board for #gameart #3dart #zbrush #gamedev #polycount http://t.co/M5XpiRbMh1 http://t.co/7RP4JKppN2,Game Art,134,53,1,0,10,6,20,8,6,1,-1,1
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,9,2,0,1,1,1
ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max http://t.co/rKAohpeENG http://t.co/aSva0tlqEW,ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max » Всё для vfx.,107,0,1,0,1,0,1,0,0,0,-1,0
ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max http://t.co/rKAohpeENG http://t.co/aSva0tlqEW,ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max ZBrushworkshops - Detailing And Rigging In ZBrush And 3DS Max &ra...,107,0,1,0,1,0,1,0,0,0,-1,0
#job Do some 3D Modelling by yuriprodan: More than 5 year experience in 3dsmax Maya zbrush Cinema 4d… http://t.co/97p4Ixe9PG #freelancer,,136,15,1,0,3,0,20,3,2,0,-1,0
Do some 3D Modelling by yuriprodan: More than 5 year experience in 3dsmax Maya zbrush Cinema 4d photoshop… http://t.co/yQqTmVLTOL,,129,0,1,0,3,0,20,3,0,0,-1,0
#jobsearch Do some 3D Modelling by yuriprodan: More than 5 year experience in 3dsmax Maya zbrush… http://t.co/t652X4182K #freelancer,,132,21,1,0,3,0,20,3,2,0,-1,0
Do some 3D Modelling by yuriprodan: More than 5 year experience in 3dsmax Maya zbrush Cinema 4d photoshop ... http://t.co/13DP9jf9xm,,132,0,1,0,3,0,13,0,0,0,-1,0
JOB: Do some 3D Modelling by yuriprodan: More than 5 year experience in 3dsmax Maya zbrush Cinema... http://t.co/vVMAmIwkIS #freelance,,134,9,1,0,3,0,13,0,1,0,-1,0
RT @LearnlanceJobs: JOB: Do some 3D Modelling by yuriprodan: More than 5 year experience in 3dsmax Maya zbrush Cinema... http://t.co/vVMA…,,138,9,1,0,3,0,109,34,1,1,-1,1
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,109,34,0,1,1,1
Late night externe detail test in #zbrush http://t.co/S5Cs244yj8,Adam Spizak on Instagram: “Late night externe detail test in #zbrush”,64,6,3,0,63,0,59,0,1,0,-1,0
I wonder who this is going to be?? #wip #3dsculpt #3dmodeler #3dobjects #zbrush http://t.co/TuAPdxK2s9,Dwayne Hanley on Instagram: “I wonder who this is going to be?? #wip #3dsculpt #3dmodeler #3dobjects #zbrush”,102,43,12,0,63,0,59,0,5,0,-1,0
Sandman - Death by Andrei Cristea http://t.co/jvdbpWizW0,Sandman - Death by Andrei Cristea | 3D | CGSocietylarrgrid-buttonrarrfooter-logo,56,0,1,0,1,0,24,5,0,0,-1,0
I liked a @YouTube video from @davidcazar http://t.co/Mva19mI8AR to sculptris to zbrush to maya: from model to render in 15,to sculptris to zbrush to maya: from model to render in 15 minutes!!!,123,0,1,1,106,102,66,59,0,2,1,0
Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6iPtywOy5n,Mariana Gorbeas Sketchbook - Page 6,137,31,15,0,11,2,23,5,3,0,-1,0
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,20,8,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,109,34,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,1,0,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,24,5,3,1,-1,1
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo: http://t.co/9SESV0sZCJ via @YouTube,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,90,0,1,1,106,102,45,15,0,1,1,0
Pablos Skin Material in #ZBrush &amp; Single Pass BPR! Signup for a download link - http://t.co/nhVDRWH2SC http://t.co/iFqb5MBuKG,Dynamesh sketchbook - Page 19,129,6,2,2,11,2,20,8,1,0,1,0
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,21,0,11,2,21,0,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,3,0,11,2,24,5,3,1,-1,1
RT @pixologic: Heres an early holiday treat for you! &gt;&gt; http://t.co/wRZB3IhqUp ZBrush 4R7 demo by our own Joseph Drust at CTN eXpo! http:/…,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,145,0,1,1,11,2,109,34,0,1,1,1
RT @conceptartworld: Check out @ArtOfNickHiatt spaceships designed in @pixologic #ZBrush @KeyShot3D &amp; @Photoshop http://t.co/iVs1OcqVfu ht…,Nicholas Hiatt,143,6,1,0,1,0,109,34,1,5,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,7,0,11,2,7,0,3,1,-1,1
ZBrushworkshops - Texturing A Head In ZBrush And Rendering In Marmoset: ZBrushworkshops - Texturing A Head In ... http://t.co/o4h3ZJQCJQ,,136,0,1,0,1,0,13,0,0,0,-1,0
The Complete Orc Bust Sculpting Course with ZBrush http://t.co/PpmcEAbWfO #course http://t.co/LGE95SWefc,ZBrush Sculpting Tutorial: The Complete Orc Bust Sculpting - Udemy,104,6,13,0,1,0,13,0,1,0,-1,0
I liked a @YouTube video from @edge3dcgi http://t.co/T6DfLYactP #1 Zbrush Sculpting Tutorial for Beginners Series - Organic &amp;,#1 Zbrush Sculpting Tutorial for Beginners Series - Organic & Hard-Surface T-Rex 1080p HD,129,0,1,1,106,102,66,59,0,2,1,0
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,109,34,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,109,34,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,109,34,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,1,0,3,1,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,1,0,3,1,-1,1
[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 12: http://t.co/4QQT6Z4SLJ via @YouTube,YouTube,105,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 4: http://t.co/PwPA9uNFfh via @YouTube,YouTube,104,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 10: http://t.co/vqxShPoFTV via @YouTube,YouTube,105,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 13: http://t.co/DfmnIU4vhA via @YouTube,YouTube,105,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 14: http://t.co/DBJzzifeaE via @YouTube,YouTube,105,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Designing a Fantasy Creature from Reality Part 2: http://t.co/uBSCFdbMJp via @YouTube,YouTube,113,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Designing a Fantasy Creature from Reality Part 16: http://t.co/K27qzot7Fy via @YouTube,YouTube,114,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Designing a Fantasy Creature from Reality Part 17: http://t.co/yWFJoMqf2h via @YouTube,YouTube,114,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 6: http://t.co/VPsozWaDwL via @YouTube,YouTube,104,0,11,11,106,102,66,59,0,1,1,0
[ ZBrush Tutorials ] How to Designing a Fantasy Creature from Reality Part 7: http://t.co/0W6qSTGT6M via @YouTube,YouTube,113,0,11,11,106,102,66,59,0,1,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 12 | Watch: http://t.co/cDnQuPEwnz by Makeup Tutorial | Youtube©,YouTube,138,0,50,50,106,102,58,51,0,0,1,0
[ ZBrush Tutorials ] How to Designing a Fantasy Creature from Reality Part 19: http://t.co/rxiIvvnceM via @YouTube,YouTube,114,0,11,11,106,102,66,59,0,1,1,0
@UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/MZ4M1UNlb9 #3dart http://t.co/JW8LbHa9ae,Mariana Gorbeas Sketchbook - Page 6,128,13,2,0,11,2,24,5,2,1,-1,0
RT @Vrockdesign: @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/MZ4M1UNlb9 #3dart http://t.co/JW8Lb…,Mariana Gorbeas Sketchbook - Page 6,141,13,10,1,11,2,109,34,2,2,-1,1
Another great piece by Wandong Xu.Old Monk was also done in #Maya #Zbrush #Vray #Photoshop. http://t.co/l12SBX5F3r http://t.co/NSWjOZC8cY,Old monk by Wandong Xu | Fan Art | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,137,29,2,0,2,0,24,5,4,0,-1,0
RT @Vrockdesign: @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/MZ4M1UNlb9 #3dart http://t.co/JW8Lb…,Mariana Gorbeas Sketchbook - Page 6,141,13,1,0,11,2,24,5,2,2,-1,1
RT @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/wVqyqEo7B5 #digitalsculpting #3dart http://t.co/6i…,Mariana Gorbeas Sketchbook - Page 6,142,31,1,0,11,2,109,34,3,1,-1,1
RT @Vrockdesign: @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/MZ4M1UNlb9 #3dart http://t.co/JW8Lb…,Mariana Gorbeas Sketchbook - Page 6,141,13,7,0,11,2,7,0,2,2,-1,1
RT @Vrockdesign: @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/MZ4M1UNlb9 #3dart http://t.co/JW8Lb…,Mariana Gorbeas Sketchbook - Page 6,141,13,1,0,11,2,20,8,2,2,-1,1
RT @Vrockdesign: @UArtsy: Look at Mariana Gorbeas cloth sculpting workflow in #ZBrush --&gt; http://t.co/MZ4M1UNlb9 #3dart http://t.co/JW8Lb…,Mariana Gorbeas Sketchbook - Page 6,141,13,21,0,11,2,21,0,2,2,-1,1
